,BUSCA,RSLP,SNOW,CHAVESOUNDEX,BUSCABR_SEM_VOGAL,BUSCABR,METAPHONEBR,ROBERTO
22,ACIONE,[ACIONE],[ACIONE],[ACIONE],"[ACIONE, ACIONIL, ARMANDO, ARMENI, ARMENIA, ARMINDA, ARMINDO, ASCENDINO, AZEMAR, CEMI, CENY, CEOMAR, CEOMY, ERMINDA, ERMINIO, ERMY, EUSIMAR, HERMES, HERMINDA, HERMINIA, HERMINIO, HOSANA, HOSANAH, ISMAEL, ISMAIL, ISMAR, ORCINA, ORMANDINA, ORMEU, ORMI, ORMINDO, ORMY, ORSINO, OSMAN, OSMAR, OSMIR, SAMIR, SAMUEL, SANDER, SANDI, SCHENA, SIMAO, SIMEAO, SINAIR, SONIA, SORMANE, SUZANA, YOSHIMI, ZAUNIR, ZENAIR, ZENI, ZENO, ZENON, ZENOR, ZIMAR]",[ACIONE],[ACIONE],[ACIONE]
23,ACIONIL,[ACIONIL],[ACIONIL],"[ACIONIL, AGNELO]","[ACIONE, ACIONIL, ARMANDO, ARMENI, ARMENIA, ARMINDA, ARMINDO, ASCENDINO, AZEMAR, CEMI, CENY, CEOMAR, CEOMY, ERMINDA, ERMINIO, ERMY, EUSIMAR, HERMES, HERMINDA, HERMINIA, HERMINIO, HOSANA, HOSANAH, ISMAEL, ISMAIL, ISMAR, ORCINA, ORMANDINA, ORMEU, ORMI, ORMINDO, ORMY, ORSINO, OSMAN, OSMAR, OSMIR, SAMIR, SAMUEL, SANDER, SANDI, SCHENA, SIMAO, SIMEAO, SINAIR, SONIA, SORMANE, SUZANA, YOSHIMI, ZAUNIR, ZENAIR, ZENI, ZENO, ZENON, ZENOR, ZIMAR]",[ACIONIL],[ACIONIL],[ACIONIL]
24,ACIR,[ACIR],[ACIR],"[ACIR, AGAR, AGIER]","[ACIR, AECIO, ASSIS, AZIS, AZIZ, AZIZA, CECY, CERSON, CESAR, CEZAR, ECIO, EUZI, EZIO, IACYN, ISA, ISAIAS, ISE, IZA, IZAIAS, IZO, OSEAS, OSEIAS, OZAIAS, OZEAS, OZIAS, SAUL, XERXES, YASUO, ZIEL, ZIZO]",[ACIR],[ACIR],[ACIR]
25,ACRIZIO,[ACRIZIO],[ACRIZIO],"[ACRIZIO, AGRICIO]","[ACRIZIO, CLEISSON, CLEUSA, CLEUZA, CLEZIO, CLOYSIO, CRESO, CREUSA, CREUZA, KLICIA, OCLEZIO]",[ACRIZIO],[ACRIZIO],[ACRIZIO]
26,ACYLDA,[ACYLDA],[ACYLDA],[ACYLDA],"[ACYLDA, EUCILDES, IZALDI, SHELDON, SILDES, SYLDY, ZILDA, ZILDE, ZULEIDE]",[ACYLDA],[ACYLDA],[ACYLDA]
27,ADA,"[ADA, ADAIR, ADAO]","[ADA, ADAIR, ADAO]","[ADA, ADAO, ADÃO, ADAUTO, ADITH, AIDA, ATAIDE, ATHAIDE, ATHAYDE, AUTA]","[ADA, ADAHIR, ADAIR, ADAO, ADÃO, ADEIR, ADIR, ADYR, AIDA, AYDIL, DAIR, DARCI, DARCY, DEA, DERCI, DERCY, DIRCE, EDER, EDES, EDI, EDIE, EDIO, EDIR, EDIS, EDU, EDY, EDYR, EUDA, HAYDEE, HEDER, HEDES, HEDY, HEIDER, HEIDI, IDA, IDAIL, IDEAL, IDIS, IEDA, IEDDA, IUDAN, ODAIR, ODYR, YEDA, YEDDA]",[ADA],"[ADA, ADAO, ADÃO, AIDA]",[ADA]
28,ADACIR,[ADACIR],[ADACIR],"[ADACIR, ADEJAR, ADGAR]","[ADACIR, ADASIO, ADERSON, ADESIL, ADIRCIO, ADIRSON, DACIO, DAISE, DARCIO, DASI, DAYSE, DECIO, DESIO, DEUSIL, DIRCEA, DIRCEU, DIRSO, DIRSON, EDECIO, EDESON, EDIRSON, EDISON, EDIZA, EDSE, EDSON, HUDSON, UDSON]",[ADACIR],[ADACIR],[ADACIR]
29,ADAGILSON,[ADAGILSON],[ADAGILSON],[ADAGILSON],"[ADAGILSON, DJALSON]",[ADAGILSON],[ADAGILSON],"[ADAGILSON, DJALSON]"
30,ADAHIR,[ADAHIR],[ADAHIR],"[ADAHIR, ADAIR, ADAURI, ADEIR, ADIR, ADYR]","[ADA, ADAHIR, ADAIR, ADAO, ADÃO, ADEIR, ADIR, ADYR, AIDA, AYDIL, DAIR, DARCI, DARCY, DEA, DERCI, DERCY, DIRCE, EDER, EDES, EDI, EDIE, EDIO, EDIR, EDIS, EDU, EDY, EDYR, EUDA, HAYDEE, HEDER, HEDES, HEDY, HEIDER, HEIDI, IDA, IDAIL, IDEAL, IDIS, IEDA, IEDDA, IUDAN, ODAIR, ODYR, YEDA, YEDDA]","[ADAHIR, ADAIR]","[ADAHIR, ADAIR, ADEIR, ADIR, ADYR]",[ADAHIR]
31,ADAILDES,[ADAILDES],[ADAILDES],[ADAILDES],"[ADAILDES, ADELAIDE, ADORILDO, ADROALDO, DEILDA, DELOURDES, DERALDO, DORILDA, EDUARDO, EDUIRDE]",[ADAILDES],[ADAILDES],[ADAILDES]
