,BUSCA,RSLP,SNOW,CHAVESOUNDEX,BUSCABR_SEM_VOGAL,BUSCABR,METAPHONEBR,ROBERTO
470,AUREO,"[AUREA, AUREO]","[AURA, AUREA, AUREO]","[ARI, ARY, AURA, AUREA, AUREO, AURORA]","[AELIO, ALAIR, ALAN, ALAOR, ALAYR, ALCI, ALCY, ALEX, ALICE, ALIRIO, ALLAN, ALOIR, ALY, ARACY, ARI, ARIELA, ARIM, ARLECE, ARLELON, ARLEY, ARLI, ARLY, ARON, ARY, AUIRES, AURA, AUREA, AURELIO, AUREO, AURIELES, AURORA, AYRES, ELCI, ELCY, ELI, ELIAS, ELIEL, ELIO, ELIR, ELOA, ELOI, ELOIR, ELOY, ELY, ERELCY, ERILIO, ERLI, ERLICE, ERLY, ERON, EULALIA, EULALIO, EULER, EURA, EURO, HELES, HELIA, HELIO, HÉLIO, HELY, HERIO, HERON, HIELEM, HILARIO, IARA, ILARIO, IRACI, IRACY, IRAN, IRIA, IRIS, IRON, LACI, LACY, LAHYR, LAILA, LAIR, LAIZ, LARRY, LARY, LAUCI, LAURA, LAURECI, LAURO, LAYRO, LEA, LÉA, LECY, LEILA, LEIR, LELES, LIA, LILIA, LIRIA, LIRIO, LIZ, LOACY, LUACY, LUAN, LUCI, ...]",[AUREO],"[AURA, AUREA, AUREO]",[AUREO]
471,AURIELES,[AURIELES],[AURIELES],"[ARILZA, ARLECE, AURIELES]","[AELIO, ALAIR, ALAN, ALAOR, ALAYR, ALCI, ALCY, ALEX, ALICE, ALIRIO, ALLAN, ALOIR, ALY, ARACY, ARI, ARIELA, ARIM, ARLECE, ARLELON, ARLEY, ARLI, ARLY, ARON, ARY, AUIRES, AURA, AUREA, AURELIO, AUREO, AURIELES, AURORA, AYRES, ELCI, ELCY, ELI, ELIAS, ELIEL, ELIO, ELIR, ELOA, ELOI, ELOIR, ELOY, ELY, ERELCY, ERILIO, ERLI, ERLICE, ERLY, ERON, EULALIA, EULALIO, EULER, EURA, EURO, HELES, HELIA, HELIO, HÉLIO, HELY, HERIO, HERON, HIELEM, HILARIO, IARA, ILARIO, IRACI, IRACY, IRAN, IRIA, IRIS, IRON, LACI, LACY, LAHYR, LAILA, LAIR, LAIZ, LARRY, LARY, LAUCI, LAURA, LAURECI, LAURO, LAYRO, LEA, LÉA, LECY, LEILA, LEIR, LELES, LIA, LILIA, LIRIA, LIRIO, LIZ, LOACY, LUACY, LUAN, LUCI, ...]",[AURIELES],[AURIELES],[AURIELES]
472,AURILENE,[AURILENE],[AURILENE],"[ARLELON, ARLENE, AURELINO, AURILENE]","[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]",[AURILENE],"[AURELINO, AURILENE]",[AURILENE]
473,AURINO,[AURINO],[AURINO],"[ARIM, ARINA, ARMENI, ARMENIA, ARON, AURINO]","[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]",[AURINO],[AURINO],[AURINO]
474,AURITO,[AURITO],[AURITO],"[ARYETHI, AURITO]","[ALEILTON, ALERTON, ALILTON, ARILTO, ARILTON, ARIOSTO, ARISTEU, ARISTON, ARLETE, ARLETH, ARLETTE, ARYETHI, ARYLTON, AURITO, ELIETE, ELITA, ELITO, ELYETTE, ERASTO, ERLITO, HUELITON, LAERT, LAERTE, LAIRTON, LAURITA, LAURITO, LOESTER, ORESTE, ORESTES, RITA, ROLISTOM, RUTE, RUTH, RUTHE]",[AURITO],[AURITO],[AURITO]
475,AURIZE,[AURIZE],[AURIZE],"[ARACY, ARGEU, ARIZIO, AUIRES, AURIZE, AYRES]","[AELSON, AILISON, AILSON, AILZA, ALCEU, ALCIO, ALCIR, ALECIO, ALEIXO, ALICIO, ALISSON, ALLISON, ALOISIO, ALOYSIO, ALUISIO, ALUIZIO, ALUIZO, ARILSON, ARILZA, ARIZIO, AURIZE, AYLSA, ELAISE, ELCIAS, ELCIO, ELEACIR, ELEAZAR, ELEUZA, ELIEZER, ELISA, ELISEU, ELISIO, ELISSON, ELIZA, ELIZEU, ELIZIO, ELOISA, ELOISIO, ELOIZIA, ELOIZIO, ELSA, ELSIR, ELSON, ELUIZA, ELYSIO, ELZA, ELZI, ELZIO, ELZO, ELZU, ELZY, ERASIO, ERICSSON, HELCIO, HELOISA, HELOIZA, HELSON, HORACIO, ILSA, ILSON, ILZA, LAERCIO, LAERSON, LECIO, LEISE, LESIA, LEUSA, LEZIO, LIELSON, LILIOSA, LUCIA, LUCIO, LUISA, LUIZA, LUSIA, LUZIA, OILSON, RAISSA, REILSON, RILZA, ROSA, ROZA, UILSON, UILZA, ULYSSES]",[AURIZE],[AURIZE],[AURIZE]
476,AURORA,"[AURA, AURORA]",[AURORA],"[ARI, ARY, AURA, AUREA, AUREO, AURORA]","[AELIO, ALAIR, ALAN, ALAOR, ALAYR, ALCI, ALCY, ALEX, ALICE, ALIRIO, ALLAN, ALOIR, ALY, ARACY, ARI, ARIELA, ARIM, ARLECE, ARLELON, ARLEY, ARLI, ARLY, ARON, ARY, AUIRES, AURA, AUREA, AURELIO, AUREO, AURIELES, AURORA, AYRES, ELCI, ELCY, ELI, ELIAS, ELIEL, ELIO, ELIR, ELOA, ELOI, ELOIR, ELOY, ELY, ERELCY, ERILIO, ERLI, ERLICE, ERLY, ERON, EULALIA, EULALIO, EULER, EURA, EURO, HELES, HELIA, HELIO, HÉLIO, HELY, HERIO, HERON, HIELEM, HILARIO, IARA, ILARIO, IRACI, IRACY, IRAN, IRIA, IRIS, IRON, LACI, LACY, LAHYR, LAILA, LAIR, LAIZ, LARRY, LARY, LAUCI, LAURA, LAURECI, LAURO, LAYRO, LEA, LÉA, LECY, LEILA, LEIR, LELES, LIA, LILIA, LIRIA, LIRIO, LIZ, LOACY, LUACY, LUAN, LUCI, ...]",[AURORA],[AURORA],[AURORA]
477,AUTA,[AUTA],[AUTA],"[ADA, ADAO, ADÃO, ADAUTO, ADITH, AIDA, ATAIDE, ATHAIDE, ATHAYDE, AUTA]","[AELTON, AERTON, AHILTON, AILTHON, AILTON, AIRTON, ALTAIR, ALTAYR, ARTHUR, ARTUR, ASTOR, ASTREIA, ATHOS, AUTA, AYLTON, AYRTON, ELTON, ERTON, ESTER, ESTHER, HAILTON, HEITOR, HELTON, HILTON, HUET, HYLTON, ILTOM, ILTON, ITO, OTTO, TAEL, THAIS, TITO, UOSTON]",[AUTA],[AUTA],[AUTA]
478,AUTHEMES,[AUTHEMES],[AUTHEMES],"[ADENICIO, ADENIS, ADONICA, AUTHEMES]","[ALTAMIR, ALTEMIO, ALTHEMIO, ALTINO, ARTEMIO, AUTHEMES, ETIENE, EUSTENE, HARTEMIO, ITAMAR, ITAMIR, STENIO, TANHIA, TANIA, TATIANO, TEOTONIO, THEOTONIO, THOMAZ, TIOTINA]",[AUTHEMES],[AUTHEMES],[AUTHEMES]
479,AVANI,[AVANI],[AVANI],"[ABNE, AVANI, AVANY]","[AVANI, AVANY, AVENIR, EVANDINO, EVANDO, IVANI, IVANIL, IVANIR, IVANOR, IVANY, IVONE, VAGNER, VANDA, VANDEIR, VANDER, VANDIR, VANI, VANIA, VANIO, VENINA, WAGNER, WANDA, WANDER, WANDERCY, WANIA, WANOR, WENDEL, WENDER, YOVONE, YVONICE]","[AVANI, AVANY]","[AVANI, AVANY]","[AVANI, AVANY, IVANI, IVANY, VANI]"
480,AVANY,[AVANY],[AVANY],"[ABNE, AVANI, AVANY]","[AVANI, AVANY, AVENIR, EVANDINO, EVANDO, IVANI, IVANIL, IVANIR, IVANOR, IVANY, IVONE, VAGNER, VANDA, VANDEIR, VANDER, VANDIR, VANI, VANIA, VANIO, VENINA, WAGNER, WANDA, WANDER, WANDERCY, WANIA, WANOR, WENDEL, WENDER, YOVONE, YVONICE]","[AVANI, AVANY]","[AVANI, AVANY]","[AVANI, AVANY, IVANI, IVANY, VANI]"
481,AVELAR,[AVELAR],[AVELAR],[AVELAR],"[AVELAR, VALERIA, VALERIO, VERA, VERALUZ, VERAN, WALACE, WALLACE, WALLACY, WARLEY, WEILER, WILER, WILIAM, WILLES, WILLIAM, WILLIAN, WIRES]",[AVELAR],[AVELAR],[AVELAR]
482,AVELINO,[AVELINO],[AVELINO],"[ABELINO, AVELINO]","[AVELINO, VALERIANO, VALMAR, VALMIR, VALMY, VILMA, VIRANDINO, VOLMAR, VOLMIR, WALMIR, WALMOR, WALMYR, WERNER, WILMA, WILMON, WLAMAR, WOLMAR, WOLMYR, WOLNEY]",[AVELINO],[AVELINO],[AVELINO]
483,AVENIR,[AVENIR],[AVENIR],"[ABIANOR, ABINER, ABNER, AVENIR]","[AVANI, AVANY, AVENIR, EVANDINO, EVANDO, IVANI, IVANIL, IVANIR, IVANOR, IVANY, IVONE, VAGNER, VANDA, VANDEIR, VANDER, VANDIR, VANI, VANIA, VANIO, VENINA, WAGNER, WANDA, WANDER, WANDERCY, WANIA, WANOR, WENDEL, WENDER, YOVONE, YVONICE]",[AVENIR],[AVENIR],[AVENIR]
484,AVERALDO,[AVERALDO],[AVERALDO],[AVERALDO],"[AVERALDO, EVALDO, EVERALDO, EVERARDO, EWALDO, IVALDO, VALDECI, VALDEIR, VALDIR, VALDO, VALDY, VILDA, VIOVALDO, VIVALDO, WALDA, WALDECY, WALDIR, WALDYR, WILDA, WILDES]",[AVERALDO],[AVERALDO],"[AVERALDO, EVERALDO]"
485,AVERTINO,[AVERTINO],[AVERTINO],[AVERTINO],"[AVERTINO, EVERTINA]",[AVERTINO],[AVERTINO],[AVERTINO]
486,AVIDES,[AVIDES],[AVIDES],"[ABDIAS, ABIDIAS, AVIDES]","[AVIDES, OVIDIO, WEYDER, WIDES]",[AVIDES],[AVIDES],"[AVIDES, WIDES]"
487,AYDIL,[AYDIL],[AYDIL],"[ADELIA, ADILA, ADILIA, ADILIO, ADILO, AEDILA, ATILA, ATILIO, AUDALIO, AYDIL]","[ADA, ADAHIR, ADAIR, ADAO, ADÃO, ADEIR, ADIR, ADYR, AIDA, AYDIL, DAIR, DARCI, DARCY, DEA, DERCI, DERCY, DIRCE, EDER, EDES, EDI, EDIE, EDIO, EDIR, EDIS, EDU, EDY, EDYR, EUDA, HAYDEE, HEDER, HEDES, HEDY, HEIDER, HEIDI, IDA, IDAIL, IDEAL, IDIS, IEDA, IEDDA, IUDAN, ODAIR, ODYR, YEDA, YEDDA]",[AYDIL],"[ADELIA, ADILA, ADILIA, ADILIO, ADILO, AEDILA, AUDALIO, AYDIL]",[AYDIL]
488,AYLSA,[AYLSA],[AYLSA],"[AILZA, ALCEU, ALCI, ALCIO, ALCY, ALECIO, ALEIXO, ALEX, ALICE, ALICIO, ALOISIO, ALOYSIO, ALUISIO, ALUIZIO, ALUIZO, AYLSA]","[AELSON, AILISON, AILSON, AILZA, ALCEU, ALCIO, ALCIR, ALECIO, ALEIXO, ALICIO, ALISSON, ALLISON, ALOISIO, ALOYSIO, ALUISIO, ALUIZIO, ALUIZO, ARILSON, ARILZA, ARIZIO, AURIZE, AYLSA, ELAISE, ELCIAS, ELCIO, ELEACIR, ELEAZAR, ELEUZA, ELIEZER, ELISA, ELISEU, ELISIO, ELISSON, ELIZA, ELIZEU, ELIZIO, ELOISA, ELOISIO, ELOIZIA, ELOIZIO, ELSA, ELSIR, ELSON, ELUIZA, ELYSIO, ELZA, ELZI, ELZIO, ELZO, ELZU, ELZY, ERASIO, ERICSSON, HELCIO, HELOISA, HELOIZA, HELSON, HORACIO, ILSA, ILSON, ILZA, LAERCIO, LAERSON, LECIO, LEISE, LESIA, LEUSA, LEZIO, LIELSON, LILIOSA, LUCIA, LUCIO, LUISA, LUIZA, LUSIA, LUZIA, OILSON, RAISSA, REILSON, RILZA, ROSA, ROZA, UILSON, UILZA, ULYSSES]","[AILZA, AYLSA]","[ALCI, ALCIO, ALCY, ALECIO, ALICE, ALICIO, AYLSA]","[AILZA, AYLSA]"
489,AYLTON,[AYLTON],[AYLTON],"[AELTON, AHILTON, AILTHON, AILTON, ALADIM, ALDINEA, ALEILTON, ALILTON, ALTEMIO, ALTHEMIO, ALTINO, AYLTON]","[AELTON, AERTON, AHILTON, AILTHON, AILTON, AIRTON, ALTAIR, ALTAYR, ARTHUR, ARTUR, ASTOR, ASTREIA, ATHOS, AUTA, AYLTON, AYRTON, ELTON, ERTON, ESTER, ESTHER, HAILTON, HEITOR, HELTON, HILTON, HUET, HYLTON, ILTOM, ILTON, ITO, OTTO, TAEL, THAIS, TITO, UOSTON]","[AHILTON, AILTHON, AILTON, AIRTON, AYLTON, AYRTON, HAILTON]","[AELTON, AHILTON, AILTHON, AILTON, ALTEMIO, ALTHEMIO, AYLTON]","[AELTON, AILTON, AYLTON]"
490,AYRES,[AYRES],[AYRES],"[ARACY, ARGEU, ARIZIO, AUIRES, AURIZE, AYRES]","[AELIO, ALAIR, ALAN, ALAOR, ALAYR, ALCI, ALCY, ALEX, ALICE, ALIRIO, ALLAN, ALOIR, ALY, ARACY, ARI, ARIELA, ARIM, ARLECE, ARLELON, ARLEY, ARLI, ARLY, ARON, ARY, AUIRES, AURA, AUREA, AURELIO, AUREO, AURIELES, AURORA, AYRES, ELCI, ELCY, ELI, ELIAS, ELIEL, ELIO, ELIR, ELOA, ELOI, ELOIR, ELOY, ELY, ERELCY, ERILIO, ERLI, ERLICE, ERLY, ERON, EULALIA, EULALIO, EULER, EURA, EURO, HELES, HELIA, HELIO, HÉLIO, HELY, HERIO, HERON, HIELEM, HILARIO, IARA, ILARIO, IRACI, IRACY, IRAN, IRIA, IRIS, IRON, LACI, LACY, LAHYR, LAILA, LAIR, LAIZ, LARRY, LARY, LAUCI, LAURA, LAURECI, LAURO, LAYRO, LEA, LÉA, LECY, LEILA, LEIR, LELES, LIA, LILIA, LIRIA, LIRIO, LIZ, LOACY, LUACY, LUAN, LUCI, ...]",[AYRES],"[AUIRES, AYRES]",[AYRES]
491,AYRTON,[AYRTON],[AYRTON],"[AERTON, AIRTON, ARIADNE, ARTEMIO, AYRTON]","[AELTON, AERTON, AHILTON, AILTHON, AILTON, AIRTON, ALTAIR, ALTAYR, ARTHUR, ARTUR, ASTOR, ASTREIA, ATHOS, AUTA, AYLTON, AYRTON, ELTON, ERTON, ESTER, ESTHER, HAILTON, HEITOR, HELTON, HILTON, HUET, HYLTON, ILTOM, ILTON, ITO, OTTO, TAEL, THAIS, TITO, UOSTON]","[AHILTON, AILTHON, AILTON, AIRTON, AYLTON, AYRTON, HAILTON]","[AERTON, AIRTON, AYRTON]","[AERTON, AIRTON, AYRTON]"
492,AZEMAR,[AZEMAR],[AZEMAR],"[AGENOR, AGMAR, AGUIMAR, AJMAR, AZEMAR]","[ACIONE, ACIONIL, ARMANDO, ARMENI, ARMENIA, ARMINDA, ARMINDO, ASCENDINO, AZEMAR, CEMI, CENY, CEOMAR, CEOMY, ERMINDA, ERMINIO, ERMY, EUSIMAR, HERMES, HERMINDA, HERMINIA, HERMINIO, HOSANA, HOSANAH, ISMAEL, ISMAIL, ISMAR, ORCINA, ORMANDINA, ORMEU, ORMI, ORMINDO, ORMY, ORSINO, OSMAN, OSMAR, OSMIR, SAMIR, SAMUEL, SANDER, SANDI, SCHENA, SIMAO, SIMEAO, SINAIR, SONIA, SORMANE, SUZANA, YOSHIMI, ZAUNIR, ZENAIR, ZENI, ZENO, ZENON, ZENOR, ZIMAR]",[AZEMAR],[AZEMAR],[AZEMAR]
493,AZILMAR,[AZILMAR],[AZILMAR],[AZILMAR],"[ARSELINA, AZILMAR, CECILIANO, CELINA, CELINEIA, CELINO, CELME, CELMI, CEZARINA, CIRANO, ISAURINO, IZOLINA, ORCELINA, SALMA, SALOMAO, SELMA, SELMI, SELMO, SIRLENE, SOLIMAR, URSULINO, ZELINA, ZELINDA, ZELINDO, ZELINO, ZELMA, ZILMA]",[AZILMAR],[AZILMAR],"[AZILMAR, SOLIMAR]"
494,AZIS,[AZIS],[AZIS],"[ACACIO, AECIO, AIAS, ASSIS, AZIS, AZIZ, AZIZA]","[ACIR, AECIO, ASSIS, AZIS, AZIZ, AZIZA, CECY, CERSON, CESAR, CEZAR, ECIO, EUZI, EZIO, IACYN, ISA, ISAIAS, ISE, IZA, IZAIAS, IZO, OSEAS, OSEIAS, OZAIAS, OZEAS, OZIAS, SAUL, XERXES, YASUO, ZIEL, ZIZO]","[ASSIS, AZIS, AZIZ]","[AZIS, AZIZ]","[ASSIS, AZIS, AZIZ, AZIZA]"
495,AZIZ,"[AZIZ, AZIZA]","[AZIZ, AZIZA]","[ACACIO, AECIO, AIAS, ASSIS, AZIS, AZIZ, AZIZA]","[ACIR, AECIO, ASSIS, AZIS, AZIZ, AZIZA, CECY, CERSON, CESAR, CEZAR, ECIO, EUZI, EZIO, IACYN, ISA, ISAIAS, ISE, IZA, IZAIAS, IZO, OSEAS, OSEIAS, OZAIAS, OZEAS, OZIAS, SAUL, XERXES, YASUO, ZIEL, ZIZO]","[ASSIS, AZIS, AZIZ]","[AZIS, AZIZ]","[ASSIS, AZIS, AZIZ, AZIZA]"
496,AZIZA,"[AZIZ, AZIZA]","[AZIZ, AZIZA]","[ACACIO, AECIO, AIAS, ASSIS, AZIS, AZIZ, AZIZA]","[ACIR, AECIO, ASSIS, AZIS, AZIZ, AZIZA, CECY, CERSON, CESAR, CEZAR, ECIO, EUZI, EZIO, IACYN, ISA, ISAIAS, ISE, IZA, IZAIAS, IZO, OSEAS, OSEIAS, OZAIAS, OZEAS, OZIAS, SAUL, XERXES, YASUO, ZIEL, ZIZO]",[AZIZA],[AZIZA],"[ASSIS, AZIS, AZIZ, AZIZA]"
497,BALBINA,[BALBINA],[BALBINA],[BALBINA],[BALBINA],[BALBINA],[BALBINA],[BALBINA]
498,BAPTISTA,[BAPTISTA],[BAPTISTA],[BAPTISTA],[BAPTISTA],[BAPTISTA],[BAPTISTA],[BAPTISTA]
499,BARTIRA,[BARTIRA],[BARTIRA],[BARTIRA],[BARTIRA],[BARTIRA],[BARTIRA],[BARTIRA]
500,BARTOLOMEU,[BARTOLOMEU],[BARTOLOMEU],[BARTOLOMEU],[BARTOLOMEU],[BARTOLOMEU],[BARTOLOMEU],[BARTOLOMEU]
501,BASILIO,[BASILIO],[BASILIO],"[BASILIO, BEZALEEL, BEZALIEL]","[BASILIO, BEZALEEL, BEZALIEL]",[BASILIO],[BASILIO],[BASILIO]
502,BATISTINA,[BATISTINA],[BATISTINA],[BATISTINA],[BATISTINA],[BATISTINA],[BATISTINA],[BATISTINA]
503,BEATRIZ,[BEATRIZ],[BEATRIZ],[BEATRIZ],"[BEATRIZ, BERTA, BERTHA, BETH, BRITES, HEBERT]",[BEATRIZ],[BEATRIZ],[BEATRIZ]
504,BELANDES,[BELANDES],[BELANDES],[BELANDES],"[ABELINO, BELANDES, BELINE, BERENICE, BRAULINO, UBELINA]",[BELANDES],[BELANDES],[BELANDES]
505,BELINE,[BELINE],[BELINE],[BELINE],"[ABELINO, BELANDES, BELINE, BERENICE, BRAULINO, UBELINA]",[BELINE],[BELINE],[BELINE]
506,BELMIRA,[BELMIRA],[BELMIRA],"[BELMIRA, BELMIRO]","[BELMIRA, BELMIRO]",[BELMIRA],"[BELMIRA, BELMIRO]",[BELMIRA]
507,BELMIRO,[BELMIRO],[BELMIRO],"[BELMIRA, BELMIRO]","[BELMIRA, BELMIRO]",[BELMIRO],"[BELMIRA, BELMIRO]",[BELMIRO]
508,BENEDETTO,[BENEDETTO],[BENEDETTO],"[BENEDETTO, BENEDITA, BENEDITO, BENITO, BENTO]","[BENEDETTO, BENEDICTO, BENEDITA, BENEDITO]",[BENEDETTO],[BENEDETTO],"[BENEDETTO, BENEDITO]"
509,BENEDICTO,[BENEDICTO],[BENEDICTO],[BENEDICTO],"[BENEDETTO, BENEDICTO, BENEDITA, BENEDITO]","[BENEDICTO, BENEDITO]","[BENEDICTO, BENEDITA, BENEDITO]",[BENEDICTO]
510,BENEDITA,"[BENEDITA, BENEDITO]","[BENEDITA, BENEDITO]","[BENEDETTO, BENEDITA, BENEDITO, BENITO, BENTO]","[BENEDETTO, BENEDICTO, BENEDITA, BENEDITO]",[BENEDITA],"[BENEDICTO, BENEDITA, BENEDITO]",[BENEDITA]
511,BENEDITO,"[BENEDITA, BENEDITO]","[BENEDITA, BENEDITO]","[BENEDETTO, BENEDITA, BENEDITO, BENITO, BENTO]","[BENEDETTO, BENEDICTO, BENEDITA, BENEDITO]","[BENEDICTO, BENEDITO]","[BENEDICTO, BENEDITA, BENEDITO]","[BENEDETTO, BENEDITO]"
512,BENEIR,[BENEIR],[BENEIR],[BENEIR],"[ABIANOR, ABINER, ABNE, ABNER, BENEIR, BENIGNO, BENONE, BIBIANA, BLANDINA, BRENO, BRUNO]",[BENEIR],[BENEIR],[BENEIR]
513,BENICIA,[BENICIA],[BENICIA],"[BENICIA, BENÍCIO, BENICIO]","[BENICIA, BENÍCIO, BENICIO]",[BENICIA],"[BENICIA, BENÍCIO, BENICIO]",[BENICIA]
514,BENÍCIO,[],[],"[BENICIA, BENÍCIO, BENICIO]","[BENICIA, BENÍCIO, BENICIO]","[BENÍCIO, BENICIO]","[BENICIA, BENÍCIO, BENICIO]","[BENÍCIO, BENICIO]"
515,BENICIO,[BENICIO],[BENICIO],"[BENICIA, BENÍCIO, BENICIO]","[BENICIA, BENÍCIO, BENICIO]","[BENÍCIO, BENICIO]","[BENICIA, BENÍCIO, BENICIO]","[BENÍCIO, BENICIO]"
516,BENIGNO,[BENIGNO],[BENIGNO],"[BENIGNO, BENJAMIN]","[ABIANOR, ABINER, ABNE, ABNER, BENEIR, BENIGNO, BENONE, BIBIANA, BLANDINA, BRENO, BRUNO]",[BENIGNO],[BENIGNO],[BENIGNO]
517,BENILTON,[BENILTON],[BENILTON],[BENILTON],"[BENILTON, BENITO, BENTO]","[BENILTON, BENITO]",[BENILTON],[BENILTON]
518,BENITO,[BENITO],[BENITO],"[BENEDETTO, BENEDITA, BENEDITO, BENITO, BENTO]","[BENILTON, BENITO, BENTO]","[BENILTON, BENITO]","[BENITO, BENTO]",[BENITO]
519,BENJAMIN,[BENJAMIN],[BENJAMIN],"[BENIGNO, BENJAMIN]",[BENJAMIN],[BENJAMIN],[BENJAMIN],[BENJAMIN]
520,BENONE,[BENONE],[BENONE],[BENONE],"[ABIANOR, ABINER, ABNE, ABNER, BENEIR, BENIGNO, BENONE, BIBIANA, BLANDINA, BRENO, BRUNO]",[BENONE],[BENONE],[BENONE]
521,BENTO,[BENTO],[BENTO],"[BENEDETTO, BENEDITA, BENEDITO, BENITO, BENTO]","[BENILTON, BENITO, BENTO]",[BENTO],"[BENITO, BENTO]",[BENTO]
522,BENVINDO,[BENVINDO],[BENVINDO],[BENVINDO],[BENVINDO],[BENVINDO],[BENVINDO],[BENVINDO]
523,BERENICE,[BERENICE],"[BERENICE, BERENICIA]","[BERENICE, BERENICIA, BRANCA]","[ABELINO, BELANDES, BELINE, BERENICE, BRAULINO, UBELINA]",[BERENICE],"[BERENICE, BERENICIA]",[BERENICE]
524,BERENICIA,[BERENICIA],"[BERENICE, BERENICIA]","[BERENICE, BERENICIA, BRANCA]",[BERENICIA],[BERENICIA],"[BERENICE, BERENICIA]",[BERENICIA]
525,BERIL,[BERIL],[BERIL],"[BERIL, BRAULIO]","[ABELA, ABILIO, BERIL, BORIS, BRAULIO, BYRON, IBERE, IBERIO]",[BERIL],[BERIL],[BERIL]
526,BERNADETE,[BERNADETE],[BERNADETE],"[BERNADETE, BERNADO]",[BERNADETE],[BERNADETE],[BERNADETE],[BERNADETE]
527,BERNADO,[BERNADO],[BERNADO],"[BERNADETE, BERNADO]",[BERNADO],[BERNADO],[BERNADO],[BERNADO]
528,BERNARDA,"[BERNARDA, BERNARDO]","[BERNARDA, BERNARDO]","[BERNARDA, BERNARDET, BERNARDETH, BERNARDO]","[BERNARDA, BERNARDO]",[BERNARDA],"[BERNARDA, BERNARDO]",[BERNARDA]
529,BERNARDET,[BERNARDET],[BERNARDET],"[BERNARDA, BERNARDET, BERNARDETH, BERNARDO]","[BERNARDET, BERNARDETH]","[BERNARDET, BERNARDETH]","[BERNARDET, BERNARDETH]",[BERNARDET]
530,BERNARDETH,[BERNARDETH],[BERNARDETH],"[BERNARDA, BERNARDET, BERNARDETH, BERNARDO]","[BERNARDET, BERNARDETH]","[BERNARDET, BERNARDETH]","[BERNARDET, BERNARDETH]",[BERNARDETH]
531,BERNARDINA,"[BERNARDINA, BERNARDINO]","[BERNARDINA, BERNARDINO]","[BERNARDINA, BERNARDINO]","[BERNARDINA, BERNARDINO]",[BERNARDINA],"[BERNARDINA, BERNARDINO]",[BERNARDINA]
532,BERNARDINO,"[BERNARDINA, BERNARDINO]","[BERNARDINA, BERNARDINO]","[BERNARDINA, BERNARDINO]","[BERNARDINA, BERNARDINO]",[BERNARDINO],"[BERNARDINA, BERNARDINO]",[BERNARDINO]
533,BERNARDO,"[BERNARDA, BERNARDO]","[BERNARDA, BERNARDO]","[BERNARDA, BERNARDET, BERNARDETH, BERNARDO]","[BERNARDA, BERNARDO]",[BERNARDO],"[BERNARDA, BERNARDO]",[BERNARDO]
534,BERTA,[BERTA],[BERTA],"[BERTA, BERTHA]","[BEATRIZ, BERTA, BERTHA, BETH, BRITES, HEBERT]","[BERTA, BERTHA]","[BERTA, BERTHA, HEBERT]",[BERTA]
535,BERTHA,[BERTHA],[BERTHA],"[BERTA, BERTHA]","[BEATRIZ, BERTA, BERTHA, BETH, BRITES, HEBERT]","[BERTA, BERTHA]","[BERTA, BERTHA, HEBERT]",[BERTHA]
